ip1,ip2,port1,port2,proto,pkts12,pkts21,bytes12,bytes21,etime,class,app,entity1,entity2,part1,part2,link_label
192.168.7.223,17.171.98.3,55538,443,6,3,1,416,60,1525251614,8,913,192.168.7.223_55538,17.171.98.3_443,187,187,187_187
192.168.7.202,17.248.152.44,58826,443,6,3,1,421,60,1525251627,8,913,192.168.7.202_58826,17.248.152.44_443,188,188,188_188
192.168.7.223,17.139.246.6,55539,443,6,3,1,377,52,1525251614,8,913,192.168.7.223_55539,17.139.246.6_443,189,189,189_189
192.168.7.202,17.248.160.18,58835,443,6,2,4,116,3112,1525251637,8,913,192.168.7.202_58835,17.248.160.18_443,190,190,190_190
52.229.172.155,192.168.7.131,443,10684,6,6,3,6743,352,1525251648,8,913,52.229.172.155_443,192.168.7.131_10684,191,191,191_191
219.238.237.133,192.168.6.242,80,54684,6,4,4,378,482,1525251632,8,237,219.238.237.133_80,192.168.6.242_54684,192,192,192_192
192.168.7.233,140.206.160.226,41670,80,6,5,4,566,574,1525251644,8,237,192.168.7.233_41670,140.206.160.226_80,193,193,193_193
203.208.41.90,192.168.7.97,443,56125,6,1,2,52,328,1525251610,8,913,203.208.41.90_443,192.168.7.97_56125,194,194,194_194
203.208.50.95,192.168.7.147,443,59670,6,1,3,52,649,1525251616,8,913,203.208.50.95_443,192.168.7.147_59670,195,195,195_195
8.8.4.4,192.168.7.144,53,57661,17,1,1,166,59,1525251608,8,916,8.8.4.4_53,192.168.7.144_57661,-1,4,-1_4
203.208.50.46,192.168.7.223,443,55544,6,1,3,60,416,1525251615,8,913,203.208.50.46_443,192.168.7.223_55544,197,197,197_197
192.168.7.116,211.159.155.139,10207,80,6,4,3,355,310,1525251659,8,237,192.168.7.116_10207,211.159.155.139_80,144,144,144_144
192.168.7.220,42.120.158.41,37898,443,6,3,1,307,60,1525251642,8,913,192.168.7.220_37898,42.120.158.41_443,81,81,81_81
192.168.7.194,119.29.49.207,58543,80,6,4,4,463,358,1525251639,8,237,192.168.7.194_58543,119.29.49.207_80,73,73,73_73
192.168.6.175,119.29.49.207,12061,80,6,4,4,537,440,1525251659,8,237,192.168.6.175_12061,119.29.49.207_80,73,73,73_73
192.168.7.223,17.248.160.21,55541,443,6,3,1,407,60,1525251614,8,913,192.168.7.223_55541,17.248.160.21_443,198,198,198_198
